Bill #,State,Session,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text
AB 1229,California,2023-2024 Regular Session,Unincorporated associations: decentralized nonprofit associations.,Feb 16 2023,From Committee: Do Pass And Re-Refer To Com. On Jud. (Ayes 10. Noes 1.) (April 24). Re-Referred To Com. On Jud.,Apr 25 2023,https://openstates.org/ca/bills/20232024/AB1229/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202320240AB1229&version=20230AB122998AMD
SB 5187,Washington,2023-2024 Regular Session,Making 2023-2025 fiscal biennium operating appropriations.,Jan 06 2023,Delivered To Governor. (View Bill As Passed Legislature),Apr 24 2023,https://openstates.org/wa/bills/2023-2024/SB5187/,Christine Rolfes,June Robinson; Joe Nguyen,http://lawfilesext.leg.wa.gov/Biennium/2023-24/Htm/Bills/Senate%20Bills/5187.htm
AB 1336,California,2023-2024 Regular Session,Nonfungible token marketplaces.,Feb 16 2023,"In Committee: Set, First Hearing. Hearing Canceled At The Request Of Author.",Apr 21 2023,https://openstates.org/ca/bills/20232024/AB1336/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202320240AB1336&version=20230AB133698AMD
HB 764,Missouri,2023 Regular Session,Establishes provisions relating to digital asset mining and virtual currencies,Jan 11 2023,Reported Do Pass (H) - Ayes: 7 Noes: 3 Present: 0,Apr 20 2023,https://openstates.org/mo/bills/2023/HB764/,Phil Christofanelli,,http://www.house.mo.gov/billtracking/bills231/hlrbillspdf/1719H.01I.pdf
SB 396,Nevada,2023 Regular Session,Imposes a tax on the retail sale of certain digital products. (BDR 32-6),Mar 27 2023,Read Second Time. Taken From General File. Re-Referred To Committee On Finance. Exemption Effective. To Committee.,Apr 17 2023,https://openstates.org/nv/bills/82/SB396/,,,https://www.leg.state.nv.us/Session/82nd2023/Bills/SB/SB396.pdf
SB 376,Nevada,2023 Regular Session,Requires the Department of Business and Industry to conduct an interim study of the Regulatory Experimentation Program for Product Innovation and certain related matters. (BDR S-183),Mar 27 2023,"(Pursuant To Joint Standing Rule No. 14.3.1, No Further Action Allowed.)",Apr 15 2023,https://openstates.org/nv/bills/82/SB376/,,,https://www.leg.state.nv.us/Session/82nd2023/Bills/SB/SB376.pdf
SB 165,Nevada,2023 Regular Session,Revises provisions relating to businesses engaged in the development of emerging technologies. (BDR 18-878),Feb 16 2023,"Notice Of Eligibility For Exemption.Read Second Time.Taken From General File. Re-Referred To Committee On Finance. To Committee.Exemption Effective.",Apr 13 2023,https://openstates.org/nv/bills/82/SB165/,,Fabian Doñate; Roberta Lange; Rochelle T. Nguyen,https://www.leg.state.nv.us/Session/82nd2023/Bills/SB/SB165.pdf
SB 770,Texas,88th Legislature (2023),Relating to the commingling of funds by digital asset service providers.,Feb 07 2023,Left Pending In Committee,Apr 13 2023,https://openstates.org/tx/bills/88/SB770/,Tan Parker,,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00770I.HTM
HB 901,Pennsylvania,2023-2024 Regular Session,"An Act amending the act of December 5, 1972 (P.L.1280, No.284), known as the Pennsylvania Securities Act of 1972, providing for digital assets and blockchain technology registration; and imposing penalties.",Apr 12 2023,Pn 0883 Referred To Commerce,Apr 12 2023,https://openstates.org/pa/bills/2023-2024/HB901/,Ben Waxman,Danilo Burgos; Maureen E. Madden; Jose Giral; Benjamin V. Sanchez; Tim Brennan; R. Lee James; Danielle Friel Otten; Emily Kinkead; Green,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0901&pn=0883
SB 1236,Arizona,56th Legislature,blockchain technology; tax; fee; prohibition,Jan 26 2023,Vetoed By Governor,Apr 12 2023,https://openstates.org/az/bills/56th-1st-regular/SB1236/,Wendy Rogers,,https://apps.azleg.gov/BillStatus/GetDocumentPdf/505121
HB 5836,Rhode Island,2023 Regular Session,"AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT -- RHODE ISLAND ECONOMIC GROWTH BLOCKCHAIN ACT (Establishes an economic growth blockchain act, which would regulate virtual and digital assets, and establishes depository banks for these purposes.)",Mar 01 2023,04/05/2023 Committee Recommended Measure Be Held For Further Study,Apr 05 2023,https://openstates.org/ri/bills/2023/HB5836/,David J. Place,,http://webserver.rilegislature.gov/BillText/BillText23/HouseText23/H5836.pdf
HB 5844,Rhode Island,2023 Regular Session,AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT -- UNIVERSAL REGULATORY SANDBOX ACT (Establishes a Regulatory Sandbox program designed to provide a depository for ideas in a regulatory approach.),Mar 01 2023,04/05/2023 Committee Recommended Measure Be Held For Further Study,Apr 05 2023,https://openstates.org/ri/bills/2023/HB5844/,George A. Nardone,,http://webserver.rilegislature.gov/BillText/BillText23/HouseText23/H5844.pdf
HB 1140,Washington,2023-2024 Regular Session,Making 2023-2025 fiscal biennium operating appropriations.,Jan 05 2023,Referred To Rules 2 Review.,Apr 03 2023,https://openstates.org/wa/bills/2023-2024/HB1140/,Timm Ormsby,Mia Gregerson; Nicole Macri; Debra Lekanoff; Steve Bergquist,http://lawfilesext.leg.wa.gov/Biennium/2023-24/Htm/Bills/House%20Bills/1140.htm
A 6319,New York,2023 Regular Session,Relates to data privacy protection; establishes the privacy and security victims relief fund,Apr 03 2023,Referred To Science And Technology,Apr 03 2023,https://openstates.org/ny/bills/2023-2024/A6319/,Michaelle C. Solages,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A6319&term=2023&Text=Y
SB 788,Illinois,103rd Regular Session,Regulation-Tech,Feb 02 2023,Rule 3-9(A) / Re-Referred To Assignments,Mar 31 2023,https://openstates.org/il/bills/103rd/SB788/,Don Harmon,,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB0788&GA=103&SessionId=112&DocTypeId=SB&LegID=144864&DocNum=788&GAID=17&SpecSess=&Session=&print=true
SB 790,Illinois,103rd Regular Session,Regulation-Tech,Feb 02 2023,Rule 3-9(A) / Re-Referred To Assignments,Mar 31 2023,https://openstates.org/il/bills/103rd/SB790/,Don Harmon,,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB0790&GA=103&SessionId=112&DocTypeId=SB&LegID=144873&DocNum=790&GAID=17&SpecSess=&Session=&print=true
SB 787,Illinois,103rd Regular Session,Regulation-Tech,Feb 02 2023,Rule 3-9(A) / Re-Referred To Assignments,Mar 31 2023,https://openstates.org/il/bills/103rd/SB787/,Don Harmon,,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB0787&GA=103&SessionId=112&DocTypeId=SB&LegID=144862&DocNum=787&GAID=17&SpecSess=&Session=&print=true
SB 789,Illinois,103rd Regular Session,Regulation-Tech,Feb 02 2023,Rule 3-9(A) / Re-Referred To Assignments,Mar 31 2023,https://openstates.org/il/bills/103rd/SB789/,Don Harmon,,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB0789&GA=103&SessionId=112&DocTypeId=SB&LegID=144870&DocNum=789&GAID=17&SpecSess=&Session=&print=true
SB 791,Illinois,103rd Regular Session,Regulation-Tech,Feb 02 2023,Rule 3-9(A) / Re-Referred To Assignments,Mar 31 2023,https://openstates.org/il/bills/103rd/SB791/,Don Harmon,,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB0791&GA=103&SessionId=112&DocTypeId=SB&LegID=144876&DocNum=791&GAID=17&SpecSess=&Session=&print=true
SF 540,Iowa,2023-2024 Regular Session,"A bill for an act relating to commercial transactions, including control and transmission of electronic records and digital assets.",Mar 06 2023,Placed On Calendar Under Unfinished Business.,Mar 30 2023,https://openstates.org/ia/bills/2023-2024/SF540/,COMMITTEE ON JUDICIARY,,https://www.legis.iowa.gov/docs/publications/LGI/90/attachments/SF540.html
HB 5209,Texas,88th Legislature (2023),Relating to a temporary decrease in the rates of state sales and use taxes applicable to certain sales the payment for which is made using a decentralized network in the blockchain.,Mar 10 2023,Referred To Ways & Means,Mar 24 2023,https://openstates.org/tx/bills/88/HB5209/,Salman Bhojani,,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB05209I.HTM
SB 3,Utah,2023 General Session,Appropriations Adjustments,Mar 03 2023,Governor Line Item Veto,Mar 23 2023,https://openstates.org/ut/bills/2023/SB3/,Jerry W. Stevenson,Val L. Peterson,https://le.utah.gov/~2023/bills/sbillenr/SB0003.pdf
HCR 89,Texas,88th Legislature (2023),Expressing support for the Bitcoin economy in Texas.,Mar 20 2023,Referred To State Affairs,Mar 22 2023,https://openstates.org/tx/bills/88/HCR89/,"Harris, Cody",,http://capitol.texas.gov/tlodocs/88R/billtext/html/HC00089I.HTM
AB 76,California,2023-2024 Regular Session,Money laundering: blockchain technology.,Dec 14 2022,"In Committee: Set, First Hearing. Referred To Appr. Suspense File.",Mar 22 2023,https://openstates.org/ca/bills/20232024/AB76/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202320240AB76&version=20230AB7698AMD
PC 1565,Puerto Rico,2021-2024 Session,"Para crear un Comité Asesor de la Asamblea Legislativa con la encomienda estudiar, analizar y presentar un plan específico para implementar los primeros proyectos piloto utilizando la tecnología Blockchain en el Estado Libre Asociado de Puerto Rico en ciento ochenta (180) días; para disponer cuál será su composición, poderes y funciones; y para otros fines relacionados.",Nov 07 2022,Quedó Pendiente De Acción Posterior En La Cámara,Mar 21 2023,https://openstates.org/pr/bills/2021-2024/PC1565/,Jesús Manuel Ortiz González,,https://sutra.oslpr.org/osl/SUTRA/anejos/143194/PC1565-entirillado.docx
HB 5160,Rhode Island,2023 Regular Session,"AN ACT RELATING TO FINANCIAL INSTITUTIONS -- LICENSED ACTIVITIES -- LENDERS AND LOAN BROKERS -- CHECK CASHING (Repeals the provisions of the general laws allowing deferred deposit providers, also known as ""payday lenders."")",Jan 19 2023,03/21/2023 Committee Recommended Measure Be Held For Further Study,Mar 21 2023,https://openstates.org/ri/bills/2023/HB5160/,Kathleen A. Fogarty,,http://webserver.rilegislature.gov/BillText/BillText23/HouseText23/H5160.pdf
HB 556,Utah,2023 General Session,Legislative Committee Staff Requirements,Feb 23 2023,Governor Signed,Mar 20 2023,https://openstates.org/ut/bills/2023/HB556/,Ryan D. Wilcox,Kirk A. Cullimore,https://le.utah.gov/~2023/bills/hbillenr/HB0556.pdf
HB 216,Utah,2023 General Session,H.B. 216 Business and Chancery Court Amendments,Jan 16 2023,Governor Signed,Mar 20 2023,https://openstates.org/ut/bills/2023/HB216/,Brady Brammer,Kirk A. Cullimore,https://le.utah.gov/~2023/bills/hbillenr/HB0216.pdf
SF 127,Wyoming,2023 Regular Session,Wyoming Stable Token Act.,Jan 18 2023,Assigned Chapter Number 185,Mar 17 2023,https://openstates.org/wy/bills/2023/SF127/,BlockChain/Technology,,https://wyoleg.gov/2023/Amends/SF0127SS001.pdf
HB 5533,Rhode Island,2023 Regular Session,"AN ACT RELATING TO FINANCIAL INSTITUTIONS -- POWERS AND OPERATIONS (Amends outdated provisions of the banking statutes and the home loan protection act, adds consumer protections, including minimum capital requirements and limits on investments, for currency transmitters, including crypto currency..)",Feb 15 2023,03/17/2023 Committee Recommended Measure Be Held For Further Study,Mar 17 2023,https://openstates.org/ri/bills/2023/HB5533/,Grace Diaz,,http://webserver.rilegislature.gov/BillText/BillText23/HouseText23/H5533.pdf
SB 160,Utah,2023 General Session,S.B. 160 Blockchain Liability Amendments,Jan 31 2023,Governor Signed,Mar 17 2023,https://openstates.org/ut/bills/2023/SB160/,Kirk A. Cullimore,Jordan D. Teuscher,https://le.utah.gov/~2023/bills/sbillenr/SB0160.pdf
HB 407,Pennsylvania,2023-2024 Regular Session,An Act establishing a task force on digital currency and the impact on widespread use of cryptocurrency and other forms of digital currencies in this Commonwealth.,Mar 14 2023,Pn 0375 Referred To Commerce,Mar 14 2023,https://openstates.org/pa/bills/2023-2024/HB407/,John T. Galloway,Michael H. Schlossberg; Ryan E. Mackenzie; Nick Pisciottano; Benjamin V. Sanchez; Danilo Burgos; Perry S. Warren; Napoleon J. Nelson,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0407&pn=0375
HB 470,Utah,2023 General Session,H.B. 470 Government Digital Verifiable Record Amendments,Feb 14 2023,Governor Signed,Mar 14 2023,https://openstates.org/ut/bills/2023/HB470/,"Cutler, Paul A.",Kirk A. Cullimore,https://le.utah.gov/~2023/bills/hbillenr/HB0470.pdf
HB 357,Utah,2023 General Session,H.B. 357 Decentralized Autonomous Organizations Amendments,Feb 01 2023,To Governor,Mar 13 2023,https://openstates.org/ut/bills/2023/HB357/,Jordan D. Teuscher,Kirk A. Cullimore,https://le.utah.gov/~2023/bills/hbillenr/HB0357.pdf
HB 289,Utah,2023 General Session,H.B. 289 Blockchain Provider Registration,Jan 24 2023,To Governor,Mar 13 2023,https://openstates.org/ut/bills/2023/HB289/,"Lee, Trevor",Kirk A. Cullimore,https://le.utah.gov/~2023/bills/hbillenr/HB0289.pdf
SB 2603,Mississippi,2023 Regular Session,Digital Asset Mining Protection Act; create.,Jan 16 2023,Died On Calendar,Mar 10 2023,https://openstates.org/ms/bills/2023/SB2603/,,,http://billstatus.ls.state.ms.us/documents/2023/html/ham/SB2603_H_Amend_01_to_Amend_01.htm
LB 587,Nebraska,108th Legislature (2023-2024),Adopt the Insurance Regulatory Sandbox Act,Jan 17 2023,Placed On General File,Mar 09 2023,https://openstates.org/ne/bills/108/LB587/,Anna Wishart,Julie Slama,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB587.pdf
HCR 67,West Virginia,2023 Regular,Requesting a study of the effects of using blockchain technology on vital public and government data security.,Mar 07 2023,Communicated To Senate,Mar 09 2023,https://openstates.org/wv/bills/2023/HCR67/,Daniel Linville,Jarred Cannon,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=hcr67%20org.htm&yr=2023&sesstype=RS&i=67&houseorig=h&billtype=cr
S 5564,New York,2023 Regular Session,"Relates to establishing a task force to study and report on the potential implementation of blockchain technology in state record keeping, information storage, and service delivery",Mar 08 2023,Referred To Internet And Technology,Mar 08 2023,https://openstates.org/ny/bills/2023-2024/S5564/,Leroy Comrie,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S5564&term=2023&Text=Y
SB 925,Texas,88th Legislature (2023),Relating to the use of blockchain technology for financing statements and related records filed with the secretary of state.,Feb 14 2023,Referred To Business & Commerce,Mar 03 2023,https://openstates.org/tx/bills/88/SB925/,Tan Parker,,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00925I.HTM
HB 1784,Virginia,2023 Regular Session,"Securities; digital token exemption, decentralized autonomous organizations.",Jan 10 2023,Passed By Indefinitely In Commerce And Labor With Letter (12-Y 3-N),Feb 20 2023,https://openstates.org/va/bills/2023/HB1784/,Terry G. Kilgore,,https://lis.virginia.gov/cgi-bin/legp604.exe?231+ful+HB1784EH1
H 69,Massachusetts,193rd Legislature (2023-2024),An Act establishing a special commission on blockchain and cryptocurrency,Feb 16 2023,Senate Concurred,Feb 16 2023,https://openstates.org/ma/bills/193rd/H69/,,"Kate Lipper-Garabedian; Josh S. Cutler; Vanna Howard; James Arciero; Thomas M. Stanley; Aaron L. Saunders; Edward R. Philips; Bradley H. Jones, Jr.; Susan L. Moran",https://malegislature.gov/Bills/193/H69.pdf
S 29,Massachusetts,193rd Legislature (2023-2024),An Act establishing a special commission on blockchain and cryptocurrency,Feb 16 2023,House Concurred,Feb 16 2023,https://openstates.org/ma/bills/193rd/S29/,Barry R. Finegold,"Bradley H. Jones, Jr.; Susan L. Moran",https://malegislature.gov/Bills/193/S29.pdf
SB 175,Rhode Island,2023 Regular Session,"AN ACT RELATING TO FINANCIAL INSTITUTIONS -- LICENSED ACTIVITIES -- LENDERS AND LOAN BROKERS -- CHECK CASHING (Repeals the provisions of the general laws allowing deferred deposit providers, also known as ""payday lenders."")",Feb 16 2023,"02/16/2023 Introduced, Referred To Senate Commerce",Feb 16 2023,https://openstates.org/ri/bills/2023/SB175/,Bridget Valverde,,http://webserver.rilegislature.gov/BillText/BillText23/SenateText23/S0175.pdf
HB 848,Mississippi,2023 Regular Session,Mississippi Digital Asset Mining Act; create.,Jan 16 2023,Tabled,Feb 09 2023,https://openstates.org/ms/bills/2023/HB848/,Jody Steverson,Jackson,http://billstatus.ls.state.ms.us/documents/2023/html/HB/0800-0899/HB0848IN.htm
SB 1718,Illinois,103rd Regular Session,Special Purpose Trust Company,Feb 09 2023,Referred To Assignments,Feb 09 2023,https://openstates.org/il/bills/103rd/SB1718/,Laura Ellman,,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB1718&GA=103&SessionId=112&DocTypeId=SB&LegID=146510&DocNum=1718&GAID=17&SpecSess=&Session=&print=true
SB 1887,Illinois,103rd Regular Session,Digital Property Protect Act,Feb 09 2023,Referred To Assignments,Feb 09 2023,https://openstates.org/il/bills/103rd/SB1887/,Robert Peters,,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB1887&GA=103&SessionId=112&DocTypeId=SB&LegID=146730&DocNum=1887&GAID=17&SpecSess=&Session=&print=true
HB 356,New Mexico,2023 Regular Session,Technology Sandbox Act,Feb 08 2023,Sent To House Judiciary Committee & House Appropriations & Finance Committee,Feb 08 2023,https://openstates.org/nm/bills/2023/HB356/,"Maestas, Antonio",,http://www.nmlegis.gov/Sessions/23%20Regular/bills/house/HB0356.HTML
HB 1758,Virginia,2023 Regular Session,"Regulator Innovation, Department of, and Virginia Regulatory Sandbox Program; created, report.",Jan 10 2023,Left In Appropriations,Feb 07 2023,https://openstates.org/va/bills/2023/HB1758/,Michael J. Webert,,https://lis.virginia.gov/cgi-bin/legp604.exe?231+ful+HB1758H1
SB 1239,Illinois,103rd Regular Session,Dceo-Data Center-Crypto Mining,Feb 02 2023,Referred To Assignments,Feb 02 2023,https://openstates.org/il/bills/103rd/SB1239/,Sue Rezin,,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB1239&GA=103&SessionId=112&DocTypeId=SB&LegID=145439&DocNum=1239&GAID=17&SpecSess=&Session=&print=true
HB 849,Mississippi,2023 Regular Session,Securities laws; provide certain exemptions regarding blockchain tokens.,Jan 16 2023,Died In Committee,Jan 31 2023,https://openstates.org/ms/bills/2023/HB849/,Jody Steverson,,http://billstatus.ls.state.ms.us/documents/2023/html/HB/0800-0899/HB0849IN.htm
SB 1235,Arizona,56th Legislature,legal tender; specie; bitcoin,Jan 26 2023,Senate Second Reading,Jan 30 2023,https://openstates.org/az/bills/56th-1st-regular/SB1235/,Wendy Rogers,,https://www.azleg.gov/legtext/56leg/1R/bills/SB1235P.htm
A 2643,New York,2023 Regular Session,Allows signatures secured through blockchain technology to be considered an electronic signature,Jan 26 2023,Referred To Governmental Operations,Jan 26 2023,https://openstates.org/ny/bills/2023-2024/A2643/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A2643&term=2023&Text=Y
A 2566,New York,2023 Regular Session,"Relates to establishing a task force to study and report on the potential implementation of blockchain technology in state record keeping, information storage, and service delivery",Jan 26 2023,Referred To Governmental Operations,Jan 26 2023,https://openstates.org/ny/bills/2023-2024/A2566/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A2566&term=2023&Text=Y
A 2561,New York,2023 Regular Session,Studies the use of blockchain technology in elections,Jan 26 2023,Referred To Election Law,Jan 26 2023,https://openstates.org/ny/bills/2023-2024/A2561/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A2561&term=2023&Text=Y
A 2676,New York,2023 Regular Session,Establishes a task force to study the potential designation of economic empowerment zones in the state of New York,Jan 26 2023,Referred To Economic Development,Jan 26 2023,https://openstates.org/ny/bills/2023-2024/A2676/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A2676&term=2023&Text=Y
A 2318,New York,2023 Regular Session,Requires certain disclosures in advertisements involving virtual tokens,Jan 25 2023,Referred To Science And Technology,Jan 25 2023,https://openstates.org/ny/bills/2023-2024/A2318/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A2318&term=2023&Text=Y
LB 674,Nebraska,108th Legislature (2023-2024),Change provisions relating to digital asset depositories,Jan 18 2023,"Referred To Banking, Commerce And Insurance Committee",Jan 20 2023,https://openstates.org/ne/bills/108/LB674/,Mike Jacobson,,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB674.pdf
A 2371,New Jersey,2022-2023 Regular Session,"""Digital Asset and Blockchain Technology Act.""",Feb 07 2022,"Reported Out Of Senate Committee With Amendments, 2nd Reading",Jan 19 2023,https://openstates.org/nj/bills/220/A2371/,Joe Danielsen,"Angela V. McKnight; Park, Ellen J.",https://pub.njleg.state.nj.us/Bills/2022/A2500/2371_R2.HTM
S 1756,New Jersey,2022-2023 Regular Session,"""Digital Asset and Blockchain Technology Act.""",Feb 28 2022,"Reported From Senate Committee As A Substitute, 2nd Reading",Jan 19 2023,https://openstates.org/nj/bills/220/S1756/,Andrew Zwicker,,https://pub.njleg.state.nj.us/Bills/2022/S2000/1756_U1.HTM
HB 5199,Rhode Island,2023 Regular Session,An Act Relating To Making Revised Appropriations In Support Of Fy 2023,Jan 19 2023,"01/19/2023 Introduced, Referred To House Finance",Jan 19 2023,https://openstates.org/ri/bills/2023/HB5199/,Marvin L. Abney,,http://webserver.rilegislature.gov/BillText/BillText23/HouseText23/H5199.pdf
